Availability,Residence Type,Price(in Lakhs),Area(sq.ft),Price per sq.ft (₹),Construction Status,Locality,City
3 BHK,Villa,149.00031,2187,6813,Under Construction,Boisar,Mumbai
1 BHK,Apartment,147.99769,503,29423,Ready to move,Andheri West,Mumbai
2 BHK,Apartment,174.99924,613,28548,Under Construction,Malad East,Mumbai
2 BHK,Apartment,181.0,724,25000,Under Construction,Mulund West,Mumbai
1 BHK,Apartment,130.815,510,25650,Under Construction,Saki Naka,Mumbai
2 BHK,Apartment,240.38,707,34000,Under Construction,Santacruz East,Mumbai
1 BHK,Apartment,27.98906,451,6206,Under Construction,Badlapur East,Mumbai
1 BHK,Apartment,23.8006,590,4034,Under Construction,Khopoli,Mumbai
3 BHK,Apartment,247.5,825,30000,Under Construction,Andheri West,Mumbai
2 BHK,Apartment,134.99655,535,25233,Under Construction,Kurla,Mumbai
2 BHK,Apartment,141.99675,555,25585,Under Construction,Thane West,Mumbai
3 BHK,Apartment,407.99124,1236,33009,Under Construction,Andheri West,Mumbai
2 BHK,Apartment,103.0512,672,15335,Ready to move,Thane West,Mumbai
2 BHK,Apartment,164.16,608,27000,Under Construction,Goregaon East,Mumbai
2 BHK,Apartment,169.99632,702,24216,Under Construction,Malad West,Mumbai
2 BHK,Apartment,164.0016,630,26032,Under Construction,Borivali West,Mumbai
1 BHK,Apartment,84.28,392,21500,Under Construction,Dahisar,Mumbai
Residential Plot,Residential,5.0,1000,500,Resale,kasaradavali thane west,Mumbai
2 BHK,Apartment,181.30806,579,31314,Under Construction,Santacruz East,Mumbai
1 BHK,Apartment,69.64925,473,14725,Under Construction,Mira Road East,Mumbai
3 BHK,Apartment,137.99302,946,14587,Under Construction,Mira Road East,Mumbai
3 BHK,Apartment,137.99302,946,14587,Under Construction,Mira Road East,Mumbai
2 BHK,Apartment,94.98747,667,14241,Under Construction,Mira Road East,Mumbai
2 BHK,Apartment,94.98747,667,14241,Under Construction,Mira Road East,Mumbai
2 BHK,Apartment,97.13726,682,14243,Under Construction,Mira Road East,Mumbai
2 BHK,Apartment,97.13726,682,14243,Under Construction,Mira Road East,Mumbai
3 BHK,Villa,149.00031,2187,6813,Under Construction,Boisar,Mumbai
1 BHK,Apartment,132.99714,477,27882,Ready to move,Andheri West,Mumbai
1 BHK,Apartment,90.49746,307,29478,Ready to move,Andheri West,Mumbai
1 BHK,Apartment,116.9964,405,28888,Under Construction,Malad East,Mumbai
1 BHK,Apartment,130.815,510,25650,Under Construction,Saki Naka,Mumbai
2 BHK,Apartment,167.238,652,25650,Under Construction,Saki Naka,Mumbai
2 BHK,Apartment,167.238,652,25650,Under Construction,Saki Naka,Mumbai
3 BHK,Apartment,223.668,872,25650,Under Construction,Saki Naka,Mumbai
3 BHK,Apartment,223.668,872,25650,Under Construction,Saki Naka,Mumbai
1 BHK,Apartment,137.7405,537,25650,Under Construction,Saki Naka,Mumbai
1 BHK,Apartment,137.7405,537,25650,Under Construction,Saki Naka,Mumbai
3 BHK,Apartment,237.006,924,25650,Under Construction,Saki Naka,Mumbai
3 BHK,Apartment,237.006,924,25650,Under Construction,Saki Naka,Mumbai
2 BHK,Apartment,168.777,658,25650,Under Construction,Saki Naka,Mumbai
2 BHK,Apartment,168.777,658,25650,Under Construction,Saki Naka,Mumbai
1 BHK,Apartment,117.99,460,25650,Under Construction,Saki Naka,Mumbai
1 BHK,Apartment,117.99,460,25650,Under Construction,Saki Naka,Mumbai
3 BHK,Apartment,215.46,840,25650,Under Construction,Saki Naka,Mumbai
3 BHK,Apartment,215.46,840,25650,Under Construction,Saki Naka,Mumbai
3 BHK,Apartment,238.032,928,25650,Under Construction,Saki Naka,Mumbai
3 BHK,Apartment,238.032,928,25650,Under Construction,Saki Naka,Mumbai
2 BHK,Apartment,166.9815,651,25650,Under Construction,Saki Naka,Mumbai
2 BHK,Apartment,166.9815,651,25650,Under Construction,Saki Naka,Mumbai
2 BHK,Apartment,231.2,680,34000,Under Construction,Santacruz East,Mumbai
2 BHK,Apartment,245.48,722,34000,Under Construction,Santacruz East,Mumbai
2 BHK,Apartment,245.48,722,34000,Under Construction,Santacruz East,Mumbai
3 BHK,Apartment,332.18,977,34000,Under Construction,Santacruz East,Mumbai
3 BHK,Apartment,332.18,977,34000,Under Construction,Santacruz East,Mumbai
2 BHK,Apartment,296.48,872,34000,Under Construction,Santacruz East,Mumbai
2 BHK,Apartment,296.48,872,34000,Under Construction,Santacruz East,Mumbai
2 BHK,Apartment,243.44,716,34000,Under Construction,Santacruz East,Mumbai
2 BHK,Apartment,243.44,716,34000,Under Construction,Santacruz East,Mumbai
2 BHK,Apartment,241.7337,710,34047,Under Construction,Santacruz East,Mumbai
2 BHK,Apartment,241.7337,710,34047,Under Construction,Santacruz East,Mumbai
2 BHK,Apartment,305.66,899,34000,Under Construction,Santacruz East,Mumbai
2 BHK,Apartment,305.66,899,34000,Under Construction,Santacruz East,Mumbai
3 BHK,Apartment,341.36,1004,34000,Under Construction,Santacruz East,Mumbai
3 BHK,Apartment,341.36,1004,34000,Under Construction,Santacruz East,Mumbai
1 BHK,Apartment,24.9885,405,6170,Under Construction,Badlapur East,Mumbai
1 BHK,Apartment,25.98833,421,6173,Under Construction,Badlapur East,Mumbai
2 BHK,Apartment,36.35588,583,6236,Under Construction,Badlapur East,Mumbai
1 BHK,Apartment,28.2464,455,6208,Under Construction,Badlapur East,Mumbai
1 BHK,Apartment,157.99992,569,27768,Ready to move,Andheri West,Mumbai
2 BHK,Apartment,138.40142,461,30022,Under Construction,Andheri West,Mumbai
1 BHK,Apartment,110.14771,367,30013,Under Construction,Andheri West,Mumbai
3 BHK,Apartment,325.5,1085,30000,Under Construction,Andheri West,Mumbai
1 BHK,Apartment,47.98963,247,19429,Under Construction,Bhandup West,Mumbai
1 BHK,Apartment,68.98918,338,20411,Under Construction,Bhandup West,Mumbai
1 BHK,Apartment,49.98903,273,18311,Under Construction,Bhandup West,Mumbai
1 BHK,Apartment,72.9866,380,19207,Under Construction,Bhandup West,Mumbai
2 BHK,Apartment,90.98596,481,18916,Under Construction,Bhandup West,Mumbai
2 BHK,Apartment,157.99896,644,24534,Under Construction,Thane West,Mumbai
2 BHK,Apartment,123.99655,515,24077,Under Construction,Thane West,Mumbai
2 BHK,Apartment,157.99896,644,24534,Under Construction,Thane West,Mumbai
2 BHK,Apartment,164.9984,635,25984,Under Construction,Thane West,Mumbai
2 BHK,Apartment,164.9984,635,25984,Under Construction,Thane West,Mumbai
2 BHK,Apartment,42.99875,1025,4195,Under Construction,Khopoli,Mumbai
1 BHK,Apartment,26.1225,645,4050,Under Construction,Khopoli,Mumbai
2 BHK,Apartment,40.28755,995,4049,Under Construction,Khopoli,Mumbai
2 BHK,Apartment,35.64,880,4050,Under Construction,Khopoli,Mumbai
3 BHK,Apartment,407.99124,1236,33009,Under Construction,Andheri West,Mumbai
2 BHK,Apartment,147.42,546,27000,Under Construction,Goregaon East,Mumbai
2 BHK,Apartment,161.73,599,27000,Under Construction,Goregaon East,Mumbai
2 BHK,Apartment,157.14,582,27000,Under Construction,Goregaon East,Mumbai
2 BHK,Apartment,169.99632,702,24216,Under Construction,Malad West,Mumbai
2 BHK,Apartment,145.99872,639,22848,Under Construction,Malad West,Mumbai
2 BHK,Apartment,145.99872,639,22848,Under Construction,Malad West,Mumbai
2 BHK,Apartment,169.99632,702,24216,Under Construction,Malad West,Mumbai
2 BHK,Apartment,169.99632,702,24216,Under Construction,Malad West,Mumbai
2 BHK,Apartment,152.99361,669,22869,Under Construction,Malad West,Mumbai
2 BHK,Apartment,152.99361,669,22869,Under Construction,Malad West,Mumbai
2 BHK,Apartment,157.99744,692,22832,Under Construction,Malad West,Mumbai
2 BHK,Apartment,157.99744,692,22832,Under Construction,Malad West,Mumbai
2 BHK,Apartment,153.99654,642,23987,Under Construction,Malad West,Mumbai
2 BHK,Apartment,153.99654,642,23987,Under Construction,Malad West,Mumbai
2 BHK,Apartment,128.99757,591,21827,Under Construction,Malad West,Mumbai
2 BHK,Apartment,128.99757,591,21827,Under Construction,Malad West,Mumbai
2 BHK,Apartment,138.9952,640,21718,Under Construction,Malad West,Mumbai
2 BHK,Apartment,138.9952,640,21718,Under Construction,Malad West,Mumbai
2 BHK,Apartment,137.99644,634,21766,Under Construction,Malad West,Mumbai
2 BHK,Apartment,137.99644,634,21766,Under Construction,Malad West,Mumbai
2 BHK,Apartment,158.99742,698,22779,Under Construction,Malad West,Mumbai
2 BHK,Apartment,158.99742,698,22779,Under Construction,Malad West,Mumbai
2 BHK,Apartment,133.9962,615,21788,Under Construction,Malad West,Mumbai
2 BHK,Apartment,133.9962,615,21788,Under Construction,Malad West,Mumbai
1 BHK,Apartment,92.45,430,21500,Under Construction,Dahisar,Mumbai
1 BHK,Apartment,78.475,365,21500,Under Construction,Dahisar,Mumbai
2 BHK,Apartment,29.1856,629,4640,Under Construction,Boisar,Mumbai
1 BHK,Apartment,41.6,520,8000,Under Construction,Vasai,Mumbai
1 BHK,Apartment,22.77948,618,3686,Under Construction,Boisar,Mumbai
1 RK ,Apartment,9.7904,211,4640,Under Construction,Boisar,Mumbai
2 BHK,Apartment,51.44,643,8000,Under Construction,Vasai,Mumbai
1 BHK,Apartment,41.6,520,8000,Under Construction,Vasai,Mumbai
2 BHK,Apartment,25.5664,551,4640,Under Construction,Boisar,Mumbai
1 BHK,Apartment,16.936,365,4640,Under Construction,Boisar,Mumbai
1 BHK,Apartment,33.36,417,8000,Under Construction,Vasai,Mumbai
1 BHK,Apartment,36.8,460,8000,Under Construction,Vasai,Mumbai
1 RK ,Apartment,10.5328,227,4640,Under Construction,Boisar,Mumbai
2 BHK,Apartment,51.2,640,8000,Under Construction,Vasai,Mumbai
2 BHK,Apartment,30.11157,747,4031,Under Construction,Boisar,Mumbai
1 BHK,Apartment,37.04,463,8000,Under Construction,Vasai,Mumbai
2 BHK,Apartment,385.0,770,50000,Under Construction,Santacruz West,Mumbai
2 BHK,Apartment,385.0,770,50000,Under Construction,Santacruz West,Mumbai
3 BHK,Apartment,572.5,1145,50000,Under Construction,Santacruz West,Mumbai
3 BHK,Apartment,572.5,1145,50000,Under Construction,Santacruz West,Mumbai
3 BHK,Apartment,565.0,1130,50000,Under Construction,Santacruz West,Mumbai
3 BHK,Apartment,565.0,1130,50000,Under Construction,Santacruz West,Mumbai
2 BHK,Apartment,380.0,760,50000,Under Construction,Santacruz West,Mumbai
2 BHK,Apartment,380.0,760,50000,Under Construction,Santacruz West,Mumbai
3 BHK,Apartment,550.0,1100,50000,Under Construction,Santacruz West,Mumbai
3 BHK,Apartment,550.0,1100,50000,Under Construction,Santacruz West,Mumbai
2 BHK,Apartment,407.5,815,50000,Under Construction,Santacruz West,Mumbai
2 BHK,Apartment,407.5,815,50000,Under Construction,Santacruz West,Mumbai
2 BHK,Apartment,390.0,780,50000,Under Construction,Santacruz West,Mumbai
2 BHK,Apartment,390.0,780,50000,Under Construction,Santacruz West,Mumbai
1 BHK,Apartment,41.05,821,5000,Ready to move,Panvel,Mumbai
1 BHK,Apartment,31.7,634,5000,Ready to move,Panvel,Mumbai
2 BHK,Apartment,44.9,898,5000,Ready to move,Panvel,Mumbai
1 RK ,Apartment,24.35,487,5000,Ready to move,Panvel,Mumbai
1 BHK,Apartment,37.99875,375,10133,Under Construction,Vasai,Mumbai
1 BHK,Apartment,43.49886,426,10211,Under Construction,Vasai,Mumbai
1 BHK,Apartment,43.49886,426,10211,Under Construction,Vasai,Mumbai
2 BHK,Apartment,60.0015,543,11050,Under Construction,Vasai,Mumbai
2 BHK,Apartment,60.0015,543,11050,Under Construction,Vasai,Mumbai
1 BHK,Apartment,37.99875,375,10133,Under Construction,Vasai,Mumbai
1 BHK,Apartment,37.99875,375,10133,Under Construction,Vasai,Mumbai
1 BHK,Apartment,65.0,400,16250,Under Construction,Vikroli East,Mumbai
2 BHK,Apartment,124.99634,581,21514,Under Construction,Ghatkopar East,Mumbai
2 BHK,Apartment,119.99712,956,12552,Ready to move,Mira Road East,Mumbai
2 BHK,Apartment,110.99165,889,12485,Ready to move,Mira Road East,Mumbai
2 BHK,Apartment,104.99375,785,13375,Ready to move,Mira Road East,Mumbai
1 BHK,Apartment,32.0,400,8000,Under Construction,Kalyan East,Mumbai
1 BHK,Villa,18.4992,410,4512,Ready to move,Neral,Mumbai
1 BHK,Apartment,31.99,175,18280,Under Construction,Bhandup West,Mumbai
1 BHK,Apartment,21.99915,249,8835,Under Construction,Badlapur West,Mumbai
1 BHK,Apartment,21.99915,249,8835,Under Construction,Badlapur West,Mumbai
2 BHK,Apartment,35.9996,520,6923,Under Construction,Badlapur West,Mumbai
2 BHK,Apartment,35.9996,520,6923,Under Construction,Badlapur West,Mumbai
1 BHK,Apartment,24.99824,368,6793,Under Construction,Badlapur West,Mumbai
1 BHK,Apartment,24.99824,368,6793,Under Construction,Badlapur West,Mumbai
2 BHK,Apartment,32.3495,485,6670,Under Construction,Badlapur West,Mumbai
2 BHK,Apartment,32.3495,485,6670,Under Construction,Badlapur West,Mumbai
3 BHK,Apartment,440.0,1100,40000,Under Construction,Andheri West,Mumbai
2 BHK,Apartment,312.0,780,40000,Under Construction,Andheri West,Mumbai
1 BHK,Apartment,44.99765,685,6569,Ready to move,Kalyan West,Mumbai
2 BHK,Apartment,191.64068,602,31834,Under Construction,Santacruz East,Mumbai
3 BHK,Apartment,78.94972,788,10019,Ready to move,Virar,Mumbai
1 BHK,Apartment,35.98848,396,9088,Ready to move,Virar,Mumbai
2 BHK,Apartment,48.94722,483,10134,Ready to move,Virar,Mumbai
1 BHK,Apartment,34.9888,352,9940,Ready to move,Virar,Mumbai
2 BHK,Apartment,50.9479,499,10210,Ready to move,Virar,Mumbai
1 BHK,Apartment,36.68764,398,9218,Ready to move,Virar,Mumbai
2 BHK,Apartment,33.8985,930,3645,Under Construction,Kalyan West,Mumbai
2 BHK,Apartment,122.99466,629,19554,Under Construction,Thane West,Mumbai
1 BHK,Apartment,81.99906,429,19114,Under Construction,Thane West,Mumbai
1 BHK,Apartment,81.99906,429,19114,Under Construction,Thane West,Mumbai
2 BHK,Apartment,123.99456,636,19496,Under Construction,Thane West,Mumbai
2 BHK,Apartment,123.99456,636,19496,Under Construction,Thane West,Mumbai
2 BHK,Apartment,122.99466,629,19554,Under Construction,Thane West,Mumbai
2 BHK,Apartment,122.99466,629,19554,Under Construction,Thane West,Mumbai
1 BHK,Apartment,35.9975,425,8470,Under Construction,Dombivali,Mumbai
1 BHK,Apartment,35.9975,425,8470,Under Construction,Dombivali,Mumbai
2 BHK,Apartment,55.99902,651,8602,Under Construction,Dombivali,Mumbai
2 BHK,Apartment,55.99902,651,8602,Under Construction,Dombivali,Mumbai
1 BHK,Apartment,35.9975,425,8470,Under Construction,Dombivali,Mumbai
1 BHK,Apartment,35.9975,425,8470,Under Construction,Dombivali,Mumbai
2 BHK,Apartment,55.99902,651,8602,Under Construction,Dombivali,Mumbai
2 BHK,Apartment,55.99902,651,8602,Under Construction,Dombivali,Mumbai
1 BHK,Apartment,35.4978,780,4551,Ready to move,Kalyan West,Mumbai
1 BHK,Apartment,49.9884,330,15148,Ready to move,Thane West,Mumbai
1 BHK,Apartment,51.95764,343,15148,Ready to move,Thane West,Mumbai
2 BHK,Floor,21.996,450,4888,Ready to move,Sector 7 Dwarka,Delhi
1 BHK,Floor,23.0,500,4600,Under Construction,Sector 1 Rohini,Delhi
4 BHK,Independent House,649.9872,1440,45138,Ready to move,Sarai Rohilla,Delhi
4 BHK,Apartment,999.97155,3265,30627,Ready to move,Karampura,Delhi
3 BHK,Floor,249.984,1800,13888,Ready to move,Naraina,Delhi
2 BHK,Apartment,47.9952,720,6666,Ready to move,Jamia Nagar,Delhi
3 BHK,Floor,129.998,1100,11818,Ready to move,Jhil Mil Colony,Delhi
2 BHK,Apartment,61.992,1800,3444,Ready to move,Sector 1 Dwarka,Delhi
3 BHK,Floor,624.986,1900,32894,Ready to move,West End,Delhi
2 BHK,Apartment,89.99748,972,9259,Ready to move,mayur vihar phase 1,Delhi
2 BHK,Floor,33.9988,440,7727,Ready to move,Rohini sector 16,Delhi
3 BHK,Floor,34.992,900,3888,Ready to move,Dwarka Mor,Delhi
3 BHK,Floor,184.9905,1350,13703,Ready to move,Janakpuri,Delhi
2 BHK,Apartment,84.99984,732,11612,Ready to move,Sector 18 Rohini,Delhi
3 BHK,Floor,47.9952,864,5555,Ready to move,Rohini sector 24,Delhi
2 BHK,Floor,30.996,540,5740,Ready to move,Dwarka Mor,Delhi
4 BHK,Apartment,649.9845,4950,13131,Ready to move,Delhi,Delhi
2 BHK,Apartment,34.99928,802,4364,Ready to move,Palam,Delhi
4 BHK,Floor,124.9965,1350,9259,Ready to move,Ashok Vihar,Delhi
3 BHK,Floor,43.992,900,4888,Ready to move,Mahavir Enclave,Delhi
2 BHK,Floor,38.0,500,7600,Ready to move,Sudarshan Park,Delhi
2 BHK,Apartment,149.996,1100,13636,Ready to move,Alaknanda,Delhi
2 BHK,Apartment,47.9905,1025,4682,Ready to move,Mahavir Enclave,Delhi
4 BHK,Floor,600.0,4800,12500,Ready to move,Rajouri Garden,Delhi
3 BHK,Apartment,159.9885,1350,11851,Ready to move,Okhla,Delhi
3 BHK,Apartment,34.99474,803,4358,Ready to move,Dwarka Mor,Delhi
3 BHK,Apartment,129.9925,1450,8965,Ready to move,Paschim Vihar,Delhi
4 BHK,Floor,229.9807,2045,11246,Ready to move,Krishna Nagar,Delhi
2 BHK,Floor,18.995,580,3275,Ready to move,Uttam Nagar,Delhi
3 BHK,Apartment,74.99233,1337,5609,Ready to move,Chattarpur,Delhi
3 BHK,Floor,50.496,800,6312,Ready to move,Uttam Nagar,Delhi
5 BHK,Independent House,1274.9184,8640,14756,Ready to move,Punjabi Bagh,Delhi
2 BHK,Apartment,88.0,1100,8000,Ready to move,Sector 17 Dwarka,Delhi
3 BHK,Floor,174.993,1365,12820,Ready to move,laxmi nagar,Delhi
3 BHK,Floor,51.0,1000,5100,Ready to move,Manglapuri,Delhi
2 BHK,Floor,59.9967,810,7407,Ready to move,Krishna Nagar,Delhi
2 BHK,Floor,37.995,750,5066,Ready to move,Khirki Extension,Delhi
2 BHK,Apartment,37.999,925,4108,Ready to move,Sector 10 Dwarka,Delhi
2 BHK,Floor,35.0,500,7000,Ready to move,laxmi nagar,Delhi
5 BHK,Floor,724.968,3600,20138,Ready to move,Karol Bagh,Delhi
2 BHK,Floor,14.99553,459,3267,Under Construction,Razapur Khurd,Delhi
2 BHK,Apartment,29.0,500,5800,Ready to move,Uttam Nagar,Delhi
2 BHK,Independent House,18.99855,405,4691,Ready to move,Dwarka Mor,Delhi
4 BHK,Floor,549.972,3600,15277,Ready to move,Sector 23 Rohini,Delhi
3 BHK,Floor,54.99,1125,4888,Ready to move,Chattarpur,Delhi
3 BHK,Floor,62.991,1350,4666,Ready to move,Shahdara,Delhi
3 BHK,Floor,34.9965,990,3535,Ready to move,Dwarka Mor,Delhi
1 BHK,Apartment,55.79808,442,12624,Ready to move,Sector 14 Dwarka,Delhi
5 BHK,Floor,210.0,2500,8400,Ready to move,Tilak Nagar,Delhi
4 BHK,Floor,239.0,2000,11950,Ready to move,Tilak Nagar,Delhi
1 BHK,Apartment,32.08,500,6416,Ready to move,Johripur,Delhi
2 BHK,Floor,84.9975,750,11333,Ready to move,Janakpuri,Delhi
3 BHK,Floor,74.998,1100,6818,Under Construction,Sector 1 Dwarka,Delhi
2 BHK,Floor,34.9965,550,6363,Ready to move,Mahavir Enclave,Delhi
2 BHK,Floor,41.9976,720,5833,Ready to move,Dwarka Mor,Delhi
4 BHK,Floor,334.984,2600,12884,Ready to move,Saket,Delhi
2 BHK,Apartment,110.0,1100,10000,Ready to move,Subhash Nagar,Delhi
2 BHK,Floor,24.99948,642,3894,Under Construction,Hastsal,Delhi
2 BHK,Floor,47.99628,684,7017,Under Construction,Sarai Rohilla,Delhi
3 BHK,Apartment,64.99584,1152,5642,Under Construction,Chattarpur,Delhi
4 BHK,Floor,614.9745,3150,19523,Ready to move,Chittaranjan Park,Delhi
2 BHK,Floor,31.995,750,4266,Under Construction,Chattarpur,Delhi
3 BHK,Apartment,204.99,1500,13666,Ready to move,Lajpat Nagar III,Delhi
5 BHK,Independent House,89.991,1650,5454,Ready to move,Tri Nagar,Delhi
1 BHK,Apartment,57.0,500,11400,Ready to move,Vasant Kunj,Delhi
2 BHK,Apartment,39.9945,650,6153,Ready to move,Kalkaji,Delhi
2 BHK,Floor,90.0,720,12500,Ready to move,Sector 19 Dwarka,Delhi
2 BHK,Floor,45.9999,810,5679,Ready to move,Tilak Nagar,Delhi
2 BHK,Apartment,21.4974,540,3981,Ready to move,Nawada,Delhi
2 BHK,Floor,24.999,650,3846,Ready to move,Dwarka Mor,Delhi
4 BHK,Floor,249.984,1800,13888,Ready to move,Malviya Nagar,Delhi
3 BHK,Apartment,49.995,1100,4545,Ready to move,Chattarpur,Delhi
2 BHK,Apartment,124.992,930,13440,Ready to move,Sector 13 Rohini,Delhi
3 BHK,Apartment,279.99,1800,15555,Ready to move,Sector 2 Dwarka,Delhi
2 BHK,Floor,31.9995,585,5470,Ready to move,Dwarka Mor,Delhi
3 BHK,Apartment,180.0,1200,15000,Ready to move,Sector 13 Rohini,Delhi
2 BHK,Apartment,23.0,625,3680,Ready to move,Tara Nagar,Delhi
2 BHK,Apartment,199.99038,986,20283,Ready to move,Sector 13 Rohini,Delhi
1 BHK,Apartment,18.5,500,3700,Ready to move,Jamia Nagar,Delhi
3 BHK,Floor,64.992,1200,5416,Ready to move,Badarpur,Delhi
4 BHK,Floor,57.992,1100,5272,Ready to move,Dwarka Mor,Delhi
3 BHK,Floor,44.0,1000,4400,Ready to move,Dwarka Mor,Delhi
1 BHK,Floor,25.0,500,5000,Ready to move,Sector 1 Rohini,Delhi
3 BHK,Floor,599.982,1900,31578,Ready to move,Anand Niketan,Delhi
1 BHK,Floor,18.0,360,5000,Ready to move,Dwarka Mor,Delhi
3 BHK,Apartment,129.9925,1450,8965,Ready to move,Paschim Vihar,Delhi
2 BHK,Floor,110.9952,960,11562,Ready to move,Subhash Nagar,Delhi
2 BHK,Floor,89.9976,840,10714,Ready to move,vikaspuri,Delhi
3 BHK,Floor,349.992,1800,19444,Ready to move,Lajpat Nagar,Delhi
3 BHK,Apartment,61.99865,1535,4039,Ready to move,Bijwasan,Delhi
3 BHK,Floor,47.9895,1150,4173,Under Construction,Chattarpur,Delhi
2 BHK,Floor,32.0,800,4000,Ready to move,Khirki Extension,Delhi
3 BHK,Apartment,179.998,1150,15652,Ready to move,Sector 13 Rohini,Delhi
3 BHK,Floor,79.992,1100,7272,Under Construction,Ganesh Nagar,Delhi
2 BHK,Apartment,22.99725,675,3407,Ready to move,Mundka,Delhi
3 BHK,Floor,99.9945,1350,7407,Ready to move,Sagar Pur,Delhi
3 BHK,Independent House,35.74615,631,5665,Ready to move,Saboli,Delhi
2 BHK,Apartment,79.992,1100,7272,Ready to move,Dilshad Colony,Delhi
2 BHK,Apartment,26.49465,585,4529,Ready to move,Badarpur,Delhi
2 BHK,Apartment,38.0,1000,3800,Ready to move,Burari,Delhi
4 BHK,Floor,549.99,2700,20370,Ready to move,Greater kailash 1,Delhi
1 RK ,Apartment,25.998,350,7428,Ready to move,Karampura,Delhi
5 BHK,Apartment,62.0,2000,3100,Ready to move,Hastsal,Delhi
1 BHK,Apartment,18.0,450,4000,Ready to move,Chirag Dilli,Delhi
2 BHK,Floor,43.0,800,5375,Ready to move,Bindapur,Delhi
7 BHK,Independent House,749.998,2900,25862,Ready to move,Sector 3 Rohini,Delhi
3 BHK,Floor,124.992,1200,10416,Ready to move,Krishna Nagar,Delhi
3 BHK,Floor,155.0,1250,12400,Ready to move,vikaspuri,Delhi
2 BHK,Floor,27.99486,522,5363,Ready to move,Uttam Nagar,Delhi
4 BHK,Apartment,274.995,2700,10185,Ready to move,Model Town,Delhi
1 BHK,Floor,15.0,400,3750,Ready to move,Mehrauli,Delhi
1 BHK,Floor,15.0,400,3750,Ready to move,Mehrauli,Delhi
2 BHK,Apartment,90.0,900,10000,Ready to move,Sector 23 Rohini,Delhi
5 BHK,Floor,149.985,2750,5454,Ready to move,Shahdara,Delhi
4 BHK,Floor,64.992,1200,5416,Ready to move,Chattarpur,Delhi
2 BHK,Floor,52.5,700,7500,Ready to move,Sector 21 Rohini,Delhi
3 BHK,Apartment,179.9985,1650,10909,Ready to move,Sector 13 Rohini,Delhi
2 BHK,Floor,54.999,900,6111,Ready to move,Krishna Nagar,Delhi
2 BHK,Apartment,26.0,650,4000,Ready to move,Uttam Nagar,Delhi
3 BHK,Floor,59.994,900,6666,Ready to move,Uttam Nagar,Delhi
5 BHK,Apartment,250.0,2500,10000,Ready to move,Rangpuri,Delhi
3 BHK,Floor,44.0,1000,4400,Ready to move,Uttam Nagar,Delhi
1 BHK,Floor,41.0,500,8200,Ready to move,Rohini sector 24,Delhi
3 BHK,Apartment,149.9925,1050,14285,Under Construction,Sector 15 Rohini,Delhi
3 BHK,Apartment,150.0,1200,12500,Ready to move,Sector 25 Rohini,Delhi
3 BHK,Floor,309.995,1700,18235,Ready to move,Pitampura,Delhi
3 BHK,Floor,140.0,1250,11200,Ready to move,vikaspuri,Delhi
2 BHK,Floor,83.5,1000,8350,Ready to move,vikaspuri,Delhi
3 BHK,Floor,145.0,1250,11600,Ready to move,vikaspuri,Delhi
4 BHK,Independent House,52.0,2500,2080,Ready to move,Uttam Nagar,Delhi
9 BHK,Independent House,148.986,5400,2759,Ready to move,Uttam Nagar,Delhi
9 BHK,Independent House,148.986,5400,2759,Ready to move,Uttam Nagar,Delhi
9 BHK,Independent House,148.986,5400,2759,Ready to move,Uttam Nagar,Delhi
5 BHK,Independent House,137.97,5400,2555,Ready to move,Uttam Nagar,Delhi
9 BHK,Independent House,148.986,5400,2759,Ready to move,Uttam Nagar,Delhi
9 BHK,Independent House,148.986,5400,2759,Ready to move,Uttam Nagar,Delhi
9 BHK,Independent House,148.986,5400,2759,Ready to move,Uttam Nagar,Delhi
9 BHK,Independent House,148.986,5400,2759,Ready to move,Uttam Nagar,Delhi
9 BHK,Independent House,148.986,5400,2759,Ready to move,Uttam Nagar,Delhi
2 BHK,Floor,24.9964,520,4807,Ready to move,Dwarka Mor,Delhi
2 BHK,Floor,24.9964,520,4807,Ready to move,Dwarka Mor,Delhi
2 BHK,Floor,24.9964,520,4807,Ready to move,Dwarka Mor,Delhi
2 BHK,Floor,24.9964,520,4807,Ready to move,Dwarka Mor,Delhi
2 BHK,Floor,24.9964,520,4807,Ready to move,Dwarka Mor,Delhi
2 BHK,Floor,24.9964,520,4807,Ready to move,Dwarka Mor,Delhi
3 BHK,Apartment,299.985,2100,14285,Ready to move,Sukhdev Vihar,Delhi
7 BHK,Independent House,55.0,2500,2200,Ready to move,Sangam Vihar,Delhi
7 BHK,Independent House,55.0,2500,2200,Ready to move,Sangam Vihar,Delhi
7 BHK,Independent House,55.0,2500,2200,Ready to move,Sangam Vihar,Delhi
3 BHK,Floor,140.0,1250,11200,Ready to move,vikaspuri,Delhi
3 BHK,Floor,140.0,1250,11200,Ready to move,vikaspuri,Delhi
3 BHK,Floor,140.0,1250,11200,Ready to move,vikaspuri,Delhi
3 BHK,Floor,140.0,1250,11200,Ready to move,vikaspuri,Delhi
3 BHK,Floor,140.0,1250,11200,Ready to move,vikaspuri,Delhi
3 BHK,Floor,140.0,1250,11200,Ready to move,vikaspuri,Delhi
3 BHK,Floor,140.0,1250,11200,Ready to move,vikaspuri,Delhi
3 BHK,Floor,140.0,1250,11200,Ready to move,vikaspuri,Delhi
3 BHK,Floor,140.0,1250,11200,Ready to move,vikaspuri,Delhi
