Availability,Residence Type,Price(in Lakhs),Area(sq.ft),Price per sq.ft (₹),Construction Status,Locality,City
Residential Plot,Residential,95.976,2400,3999,New,Devanahalli,Bangalore
3 BHK,Apartment,89.35542,2079,4298,Ready to move,Hoskote,Bangalore
3 BHK,Apartment,194.0686,1870,10378,Under Construction,Whitefield Hope Farm Junction,Bangalore
Residential Plot,Residential,62.256,2400,2594,New,Bidadi,Bangalore
4 BHK,Apartment,359.9871,3165,11374,Ready to move,Hebbal,Bangalore
3 BHK,Apartment,119.94125,1573,7625,Under Construction,Hebbal,Bangalore
Residential Plot,Residential,29.88,1200,2490,New,Anekal City,Bangalore
2 BHK,Apartment,54.9,1220,4500,Under Construction,Volagerekallahalli,Bangalore
3 BHK,Apartment,50.652,1206,4200,Under Construction,Chandapura,Bangalore
1 BHK,Apartment,47.334,690,6860,Ready to move,Kasavanahalli,Bangalore
3 BHK,Apartment,153.67314,1654,9291,Under Construction,Krishnarajapura,Bangalore
4 BHK,Villa,244.97544,3298,7428,Under Construction,Sarjapur,Bangalore
2 BHK,Apartment,100.80258,1229,8202,Ready to move,Gunjur,Bangalore
3 BHK,Apartment,143.04642,1606,8907,Under Construction,Krishnarajapura,Bangalore
3 BHK,Apartment,75.44625,1475,5115,Under Construction,Whitefield Hope Farm Junction,Bangalore
3 BHK,Apartment,135.98295,1635,8317,Under Construction,Jalahalli,Bangalore
4 BHK,Villa,406.20106,4534,8959,Under Construction,Sarjapur,Bangalore
3 BHK,Apartment,64.075,1165,5500,Under Construction,Kengeri,Bangalore
2 BHK,Apartment,38.95872,1182,3296,Ready to move,Sarjapur,Bangalore
3 BHK,Apartment,58.98873,703,8391,Under Construction,Bagalur,Bangalore
Residential Plot,Residential,32.472,984,3300,New,Doddaballapur,Bangalore
2 BHK,Apartment,74.294,1228,6050,Ready to move,Whitefield Hope Farm Junction,Bangalore
2 BHK,Villa,39.496,800,4937,Under Construction,Anekal City,Bangalore
2 BHK,Apartment,88.26078,1522,5799,Under Construction,Krishnarajapura,Bangalore
3 BHK,Apartment,108.00554,1858,5813,Under Construction,Krishnarajapura,Bangalore
2 BHK,Apartment,85.01334,1466,5799,Under Construction,Krishnarajapura,Bangalore
3 BHK,Apartment,94.69767,1633,5799,Under Construction,Krishnarajapura,Bangalore
3 BHK,Apartment,66.1375,1430,4625,Under Construction,Electronic City Phase 1,Bangalore
2 BHK,Apartment,54.3933,1170,4649,Under Construction,Electronic City Phase 1,Bangalore
3 BHK,Apartment,71.994,1560,4615,Under Construction,Electronic City Phase 1,Bangalore
2 BHK,Apartment,51.238,1100,4658,Under Construction,Electronic City Phase 1,Bangalore
3 BHK,Apartment,71.3172,1545,4616,Under Construction,Electronic City Phase 1,Bangalore
3 BHK,Apartment,68.62185,1485,4621,Under Construction,Electronic City Phase 1,Bangalore
3 BHK,Apartment,67.26465,1455,4623,Under Construction,Electronic City Phase 1,Bangalore
2 BHK,Apartment,58.464,1260,4640,Under Construction,Electronic City Phase 1,Bangalore
3 BHK,Apartment,73.808,1600,4613,Under Construction,Electronic City Phase 1,Bangalore
2 BHK,Apartment,55.752,1200,4646,Under Construction,Electronic City Phase 1,Bangalore
2 BHK,Apartment,68.26322,1214,5623,Under Construction,Horamavu,Bangalore
2 BHK,Apartment,66.30525,1175,5643,Under Construction,Horamavu,Bangalore
2 BHK,Apartment,66.85482,1186,5637,Under Construction,Horamavu,Bangalore
2 BHK,Apartment,65.64138,1162,5649,Under Construction,Horamavu,Bangalore
3 BHK,Apartment,95.2875,1750,5445,Under Construction,Horamavu,Bangalore
3 BHK,Apartment,82.2838,1492,5515,Under Construction,Horamavu,Bangalore
2 BHK,Apartment,69.27676,1234,5614,Under Construction,Horamavu,Bangalore
2 BHK,Apartment,66.00174,1169,5646,Under Construction,Horamavu,Bangalore
3 BHK,Apartment,89.39042,1633,5474,Under Construction,Horamavu,Bangalore
3 BHK,Apartment,82.68,1500,5512,Under Construction,Horamavu,Bangalore
3 BHK,Apartment,89.2262,1630,5474,Under Construction,Horamavu,Bangalore
2 BHK,Apartment,71.33625,1275,5595,Under Construction,Horamavu,Bangalore
2 BHK,Apartment,71.9433,1287,5590,Under Construction,Horamavu,Bangalore
2 BHK,Apartment,71.90026,1286,5591,Under Construction,Horamavu,Bangalore
3 BHK,Apartment,81.57082,1478,5519,Under Construction,Horamavu,Bangalore
2 BHK,Apartment,68.26322,1214,5623,Under Construction,Horamavu,Bangalore
3 BHK,Apartment,77.53308,1398,5546,Under Construction,Horamavu,Bangalore
2 BHK,Apartment,68.26322,1214,5623,Under Construction,Horamavu,Bangalore
2 BHK,Apartment,45.24,1160,3900,Ready to move,Sarjapur,Bangalore
2 BHK,Apartment,45.435,1165,3900,Ready to move,Sarjapur,Bangalore
2 BHK,Apartment,42.12,1080,3900,Ready to move,Sarjapur,Bangalore
1 BHK,Apartment,30.81,790,3900,Ready to move,Sarjapur,Bangalore
1 BHK,Apartment,26.91,690,3900,Ready to move,Sarjapur,Bangalore
3 BHK,Apartment,54.99,1410,3900,Ready to move,Sarjapur,Bangalore
1 BHK,Apartment,28.08,720,3900,Ready to move,Sarjapur,Bangalore
2 BHK,Apartment,42.315,1085,3900,Ready to move,Sarjapur,Bangalore
2 BHK,Apartment,44.85,1150,3900,Ready to move,Sarjapur,Bangalore
2 BHK,Apartment,41.34,1060,3900,Ready to move,Sarjapur,Bangalore
1 BHK,Apartment,29.25,750,3900,Ready to move,Sarjapur,Bangalore
2 BHK,Apartment,39.585,1015,3900,Ready to move,Sarjapur,Bangalore
3 BHK,Apartment,54.405,1395,3900,Ready to move,Sarjapur,Bangalore
3 BHK,Apartment,203.1328,1976,10280,Under Construction,Gottigere,Bangalore
3 BHK,Apartment,141.66152,1769,8008,Under Construction,Kogilu,Bangalore
3 BHK,Apartment,199.75412,1942,10286,Under Construction,Gottigere,Bangalore
2 BHK,Apartment,101.16435,1239,8165,Under Construction,Kogilu,Bangalore
3 BHK,Apartment,196.5581,1910,10291,Under Construction,Gottigere,Bangalore
3 BHK,Apartment,142.42674,1779,8006,Under Construction,Kogilu,Bangalore
3 BHK,Apartment,229.60322,2242,10241,Under Construction,Gottigere,Bangalore
2 BHK,Apartment,102.83455,1261,8155,Under Construction,Kogilu,Bangalore
3 BHK,Apartment,136.11552,1704,7988,Ready to move,Nagarbhavi,Bangalore
3 BHK,Apartment,230.4,2250,10240,Under Construction,Gottigere,Bangalore
3 BHK,Apartment,142.8092,1784,8005,Under Construction,Kogilu,Bangalore
2 BHK,Apartment,85.62556,1046,8186,Ready to move,Nagarbhavi,Bangalore
1 BHK,Apartment,41.22452,542,7606,Under Construction,Budigere Cross,Bangalore
3 BHK,Apartment,117.59952,1454,8088,Under Construction,Kogilu,Bangalore
3 BHK,Apartment,226.33414,2209,10246,Under Construction,Gottigere,Bangalore
3 BHK,Apartment,226.33414,2209,10246,Under Construction,Gottigere,Bangalore
3 BHK,Apartment,106.73208,1404,7602,Ready to move,Budigere Cross,Bangalore
3 BHK,Apartment,96.3625,1186,8125,Ready to move,Nagarbhavi,Bangalore
3 BHK,Apartment,76.42602,957,7986,Under Construction,Budigere Cross,Bangalore
3 BHK,Apartment,140.53048,1754,8012,Under Construction,Kogilu,Bangalore
2 BHK,Apartment,71.80608,894,8032,Under Construction,Budigere Cross,Bangalore
3 BHK,Apartment,118.12185,1461,8085,Under Construction,Kogilu,Bangalore
3 BHK,Apartment,119.6917,1490,8033,Ready to move,Nagarbhavi,Bangalore
2 BHK,Apartment,68.4336,848,8070,Under Construction,Budigere Cross,Bangalore
4 BHK,Apartment,409.584,2800,14628,Ready to move,Bommanahalli,Bangalore
2 BHK,Apartment,70.7784,880,8043,Under Construction,Budigere Cross,Bangalore
2 BHK,Apartment,100.8501,1235,8166,Under Construction,Kogilu,Bangalore
3 BHK,Apartment,82.31218,1273,6466,Ready to move,Devanahalli,Bangalore
3 BHK,Apartment,82.85566,1282,6463,Ready to move,Devanahalli,Bangalore
2 BHK,Apartment,66.20049,1009,6561,Ready to move,Devanahalli,Bangalore
2 BHK,Apartment,65.48296,997,6568,Ready to move,Devanahalli,Bangalore
3 BHK,Apartment,96.0218,1498,6410,Ready to move,Devanahalli,Bangalore
3 BHK,Apartment,94.08788,1466,6418,Ready to move,Devanahalli,Bangalore
2 BHK,Apartment,39.4384,785,5024,Under Construction,Bidadi,Bangalore
2 BHK,Apartment,48.21976,878,5492,Under Construction,Bidadi,Bangalore
4 BHK,Villa,602.55,3708,16250,Ready to move,CV Raman Nagar,Bangalore
Residential Plot,Residential,24.585,1500,1639,New,Karudabande Hosahalli,Bangalore
Residential Plot,Residential,38.448,2400,1602,New,Karudabande Hosahalli,Bangalore
Residential Plot,Residential,38.448,2400,1602,New,Karudabande Hosahalli,Bangalore
Residential Plot,Residential,19.968,1200,1664,New,Karudabande Hosahalli,Bangalore
Residential Plot,Residential,19.968,1200,1664,New,Karudabande Hosahalli,Bangalore
2 BHK,Apartment,95.98428,1148,8361,Under Construction,RR Nagar,Bangalore
2 BHK,Apartment,102.982,1240,8305,Under Construction,RR Nagar,Bangalore
3 BHK,Apartment,134.3076,1652,8130,Under Construction,RR Nagar,Bangalore
2 BHK,Apartment,95.98428,1148,8361,Under Construction,RR Nagar,Bangalore
3 BHK,Apartment,134.3076,1652,8130,Under Construction,RR Nagar,Bangalore
Residential Plot,Residential,249.66625,3875,6443,New,Devanahalli,Bangalore
Residential Plot,Residential,396.49,6200,6395,New,Devanahalli,Bangalore
2 BHK,Apartment,56.53725,979,5775,Ready to move,Begur,Bangalore
Residential Plot,Residential,95.976,2400,3999,New,Devanahalli,Bangalore
Residential Plot,Residential,47.988,1200,3999,New,Devanahalli,Bangalore
Residential Plot,Residential,47.988,1200,3999,New,Devanahalli,Bangalore
3 BHK,Apartment,89.35542,2079,4298,Ready to move,Hoskote,Bangalore
3 BHK,Apartment,86.4444,2008,4305,Ready to move,Hoskote,Bangalore
3 BHK,Apartment,86.4444,2008,4305,Ready to move,Hoskote,Bangalore
3 BHK,Apartment,91.69848,2136,4293,Ready to move,Hoskote,Bangalore
3 BHK,Apartment,91.69848,2136,4293,Ready to move,Hoskote,Bangalore
4 BHK,Apartment,316.5305,2470,12815,Under Construction,Whitefield Hope Farm Junction,Bangalore
4 BHK,Apartment,245.2888,1895,12944,Under Construction,Whitefield Hope Farm Junction,Bangalore
4 BHK,Apartment,305.9955,2385,12830,Under Construction,Whitefield Hope Farm Junction,Bangalore
3 BHK,Apartment,210.596,1615,13040,Under Construction,Whitefield Hope Farm Junction,Bangalore
3 BHK,Apartment,214.57,1720,12475,Under Construction,Whitefield Hope Farm Junction,Bangalore
4 BHK,Apartment,250.8401,1970,12733,Under Construction,Whitefield Hope Farm Junction,Bangalore
4 BHK,Apartment,339.97615,2615,13001,Under Construction,Whitefield Hope Farm Junction,Bangalore
3 BHK,Apartment,215.7483,1730,12471,Under Construction,Whitefield Hope Farm Junction,Bangalore
Residential Plot,Residential,28.8,1200,2400,New,Bidadi,Bangalore
Residential Plot,Residential,36.0,1500,2400,New,Bidadi,Bangalore
Residential Plot,Residential,28.8,1200,2400,New,Bidadi,Bangalore
3 BHK,Apartment,84.168,1503,5600,Under Construction,Varthur,Bangalore
3 BHK,Apartment,76.776,1371,5600,Under Construction,Varthur,Bangalore
2 BHK,Apartment,56.056,1001,5600,Under Construction,Varthur,Bangalore
3 BHK,Apartment,77.0,1375,5600,Under Construction,Varthur,Bangalore
2 BHK,Apartment,56.336,1006,5600,Under Construction,Varthur,Bangalore
2 BHK,Apartment,62.608,1118,5600,Under Construction,Varthur,Bangalore
3 BHK,Apartment,84.84,1515,5600,Under Construction,Varthur,Bangalore
3 BHK,Apartment,77.448,1383,5600,Under Construction,Varthur,Bangalore
2 BHK,Apartment,61.264,1094,5600,Under Construction,Varthur,Bangalore
3 BHK,Apartment,83.44,1490,5600,Under Construction,Varthur,Bangalore
2 BHK,Apartment,60.368,1078,5600,Under Construction,Varthur,Bangalore
2 BHK,Apartment,60.312,1077,5600,Under Construction,Varthur,Bangalore
2 BHK,Apartment,55.048,983,5600,Under Construction,Varthur,Bangalore
2 BHK,Apartment,55.328,988,5600,Under Construction,Varthur,Bangalore
3 BHK,Apartment,81.536,1456,5600,Under Construction,Varthur,Bangalore
3 BHK,Apartment,81.704,1459,5600,Under Construction,Varthur,Bangalore
2 BHK,Apartment,54.656,976,5600,Under Construction,Varthur,Bangalore
3 BHK,Apartment,74.648,1333,5600,Under Construction,Varthur,Bangalore
2 BHK,Apartment,58.408,1043,5600,Under Construction,Varthur,Bangalore
2 BHK,Apartment,58.688,1048,5600,Under Construction,Varthur,Bangalore
2 BHK,Apartment,57.68,1030,5600,Under Construction,Varthur,Bangalore
3 BHK,Apartment,80.08,1430,5600,Under Construction,Varthur,Bangalore
3 BHK,Apartment,80.024,1429,5600,Under Construction,Varthur,Bangalore
2 BHK,Apartment,57.96,1035,5600,Under Construction,Varthur,Bangalore
2 BHK,Apartment,57.848,1033,5600,Under Construction,Varthur,Bangalore
2 BHK,Apartment,56.896,1016,5600,Under Construction,Varthur,Bangalore
3 BHK,Apartment,77.84,1390,5600,Under Construction,Varthur,Bangalore
2 BHK,Apartment,55.048,983,5600,Under Construction,Varthur,Bangalore
2 BHK,Apartment,55.328,988,5600,Under Construction,Varthur,Bangalore
3 BHK,Apartment,194.0686,1870,10378,Under Construction,Whitefield Hope Farm Junction,Bangalore
4 BHK,Apartment,260.3994,2580,10093,Under Construction,Whitefield Hope Farm Junction,Bangalore
4 BHK,Apartment,260.3994,2580,10093,Under Construction,Whitefield Hope Farm Junction,Bangalore
3 BHK,Apartment,200.5056,1920,10443,Under Construction,Whitefield Hope Farm Junction,Bangalore
3 BHK,Apartment,200.5056,1920,10443,Under Construction,Whitefield Hope Farm Junction,Bangalore
3 BHK,Apartment,164.0767,1655,9914,Under Construction,Whitefield Hope Farm Junction,Bangalore
3 BHK,Apartment,164.0767,1655,9914,Under Construction,Whitefield Hope Farm Junction,Bangalore
4 BHK,Apartment,554.9826,5260,10551,Ready to move,Hebbal,Bangalore
4 BHK,Apartment,529.9931,4865,10894,Ready to move,Hebbal,Bangalore
4 BHK,Apartment,439.992,3880,11340,Ready to move,Hebbal,Bangalore
3 BHK,Apartment,299.98776,2526,11876,Ready to move,Hebbal,Bangalore
4 BHK,Apartment,364.977,3210,11370,Ready to move,Hebbal,Bangalore
4 BHK,Apartment,420.964,3800,11078,Ready to move,Hebbal,Bangalore
4 BHK,Apartment,368.9844,3335,11064,Ready to move,Hebbal,Bangalore
4 BHK,Apartment,153.13025,2275,6731,Under Construction,Bettadasanapura,Bangalore
4 BHK,Apartment,153.13025,2275,6731,Under Construction,Bettadasanapura,Bangalore
4 BHK,Apartment,153.13025,2275,6731,Under Construction,Bettadasanapura,Bangalore
4 BHK,Apartment,153.13025,2275,6731,Under Construction,Bettadasanapura,Bangalore
3 BHK,Apartment,101.57245,1505,6749,Under Construction,Bettadasanapura,Bangalore
3 BHK,Apartment,101.57245,1505,6749,Under Construction,Bettadasanapura,Bangalore
4 BHK,Apartment,152.4798,2265,6732,Under Construction,Bettadasanapura,Bangalore
4 BHK,Apartment,152.4798,2265,6732,Under Construction,Bettadasanapura,Bangalore
3 BHK,Apartment,115.3166,1715,6724,Under Construction,Bettadasanapura,Bangalore
3 BHK,Apartment,115.3166,1715,6724,Under Construction,Bettadasanapura,Bangalore
3 BHK,Apartment,104.0606,1555,6692,Under Construction,Bettadasanapura,Bangalore
3 BHK,Apartment,104.0606,1555,6692,Under Construction,Bettadasanapura,Bangalore
2 BHK,Apartment,88.7964,1320,6727,Under Construction,Bettadasanapura,Bangalore
2 BHK,Apartment,88.7964,1320,6727,Under Construction,Bettadasanapura,Bangalore
2 BHK,Apartment,74.71185,1095,6823,Under Construction,Bettadasanapura,Bangalore
2 BHK,Apartment,74.71185,1095,6823,Under Construction,Bettadasanapura,Bangalore
2 BHK,Apartment,83.5539,1230,6793,Under Construction,Bettadasanapura,Bangalore
2 BHK,Apartment,83.5539,1230,6793,Under Construction,Bettadasanapura,Bangalore
2 BHK,Apartment,77.4249,1145,6762,Under Construction,Bettadasanapura,Bangalore
2 BHK,Apartment,77.4249,1145,6762,Under Construction,Bettadasanapura,Bangalore
3 BHK,Apartment,139.6008,2070,6744,Under Construction,Bettadasanapura,Bangalore
3 BHK,Apartment,139.6008,2070,6744,Under Construction,Bettadasanapura,Bangalore
3 BHK,Apartment,114.7928,1720,6674,Under Construction,Bettadasanapura,Bangalore
3 BHK,Apartment,114.7928,1720,6674,Under Construction,Bettadasanapura,Bangalore
3 BHK,Apartment,205.00452,786,26082,Under Construction,Borivali West,Mumbai
2 BHK,Apartment,118.895,553,21500,Under Construction,Dahisar,Mumbai
1 BHK,Apartment,19.6272,423,4640,Under Construction,Boisar,Mumbai
2 BHK,Apartment,50.8,1016,5000,Ready to move,Panvel,Mumbai
2 BHK,Apartment,49.71596,641,7756,Under Construction,Dombivali,Mumbai
1 BHK,Apartment,43.49886,426,10211,Under Construction,Vasai,Mumbai
1 BHK,Apartment,21.99915,249,8835,Under Construction,Badlapur West,Mumbai
3 BHK,Apartment,440.0,1100,40000,Under Construction,Andheri West,Mumbai
2 BHK,Apartment,144.99891,567,25573,Ready to move,Borivali East,Mumbai
1 BHK,Apartment,18.4899,330,5603,Under Construction,Rasayani,Mumbai
2 BHK,Apartment,59.3187,658,9015,Under Construction,Kalyan West,Mumbai
3 BHK,Apartment,73.94575,685,10795,Ready to move,Virar,Mumbai
1 BHK,Apartment,81.99906,429,19114,Under Construction,Thane West,Mumbai
2 BHK,Apartment,137.28,572,24000,Under Construction,Mulund West,Mumbai
2 BHK,Apartment,77.996,740,10540,Under Construction,Nilje Gaon,Mumbai
2 BHK,Apartment,144.96,604,24000,Under Construction,Jogeshwari East,Mumbai
1 BHK,Apartment,27.95798,386,7243,Ready to move,Taloja,Mumbai
3 BHK,Apartment,319.32452,1076,29677,Under Construction,Andheri East,Mumbai
1 BHK,Apartment,138.996,450,30888,Under Construction,Powai,Mumbai
1 BHK,Apartment,57.996,720,8055,Ready to move,Ulwe,Mumbai
2 BHK,Apartment,24.18768,528,4581,Ready to move,Karjat,Mumbai
2 BHK,Apartment,59.98848,876,6848,Under Construction,Panvel,Mumbai
3 BHK,Apartment,288.99588,778,37146,Under Construction,Santacruz East,Mumbai
2 BHK,Apartment,94.1052,659,14280,Under Construction,Mira Road East,Mumbai
5 BHK,Villa,199.00773,2921,6813,Under Construction,Boisar,Mumbai
1 BHK,Apartment,77.0,275,28000,Ready to move,Andheri West,Mumbai
2 BHK,Apartment,169.99872,592,28716,Under Construction,Malad East,Mumbai
2 BHK,Apartment,175.0,700,25000,Under Construction,Mulund West,Mumbai
2 BHK,Apartment,172.368,672,25650,Under Construction,Saki Naka,Mumbai
2 BHK,Apartment,220.3524,648,34005,Under Construction,Santacruz East,Mumbai
2 BHK,Apartment,36.98816,592,6248,Under Construction,Badlapur East,Mumbai
1 BHK,Apartment,22.988,560,4105,Under Construction,Khopoli,Mumbai
1 BHK,Apartment,107.7,359,30000,Under Construction,Andheri West,Mumbai
2 BHK,Apartment,126.99648,512,24804,Under Construction,Kurla,Mumbai
2 BHK,Apartment,123.99655,515,24077,Under Construction,Thane West,Mumbai
2 BHK,Apartment,225.9952,685,32992,Under Construction,Andheri West,Mumbai
1 BHK,Apartment,42.98976,396,10856,Under Construction,Thane West,Mumbai
3 BHK,Apartment,225.99,837,27000,Under Construction,Goregaon East,Mumbai
1 BHK,Apartment,24.50868,358,6846,Under Construction,Badlapur West,Mumbai
2 BHK,Apartment,145.99872,639,22848,Under Construction,Malad West,Mumbai
2 BHK,Apartment,129.49,563,23000,Ready to move,Kurla,Mumbai
2 BHK,Apartment,226.00116,868,26037,Under Construction,Borivali West,Mumbai
1 BHK,Apartment,93.31,434,21500,Under Construction,Dahisar,Mumbai
2 BHK,Apartment,51.44,643,8000,Under Construction,Vasai,Mumbai
1 RK ,Apartment,21.35,427,5000,Ready to move,Panvel,Mumbai
1 BHK,Apartment,39.1616,464,8440,Under Construction,Dombivali,Mumbai
2 BHK,Apartment,60.0015,543,11050,Under Construction,Vasai,Mumbai
1 BHK,Apartment,21.99915,249,8835,Under Construction,Badlapur West,Mumbai
2 BHK,Apartment,312.0,780,40000,Under Construction,Andheri West,Mumbai
2 BHK,Apartment,41.9985,765,5490,Under Construction,Rasayani,Mumbai
1 BHK,Apartment,43.6492,476,9170,Under Construction,Kalyan West,Mumbai
2 BHK,Apartment,49.94817,509,9813,Ready to move,Virar,Mumbai
2 BHK,Apartment,123.99456,636,19496,Under Construction,Thane West,Mumbai
2 BHK,Apartment,137.28,572,24000,Under Construction,Mulund West,Mumbai
1 BHK,Apartment,39.9988,380,10526,Under Construction,Nilje Gaon,Mumbai
2 BHK,Apartment,140.88,587,24000,Under Construction,Jogeshwari East,Mumbai
2 BHK,Apartment,44.43518,614,7237,Ready to move,Taloja,Mumbai
3 BHK,Apartment,319.32452,1076,29677,Under Construction,Andheri East,Mumbai
1 BHK,Apartment,138.996,450,30888,Under Construction,Powai,Mumbai
2 BHK,Apartment,89.9912,1105,8144,Ready to move,Ulwe,Mumbai
2 BHK,Apartment,24.18768,528,4581,Ready to move,Karjat,Mumbai
2 BHK,Apartment,181.30806,579,31314,Under Construction,Santacruz East,Mumbai
1 BHK,Apartment,69.64925,473,14725,Under Construction,Mira Road East,Mumbai
